,Team,Win+Toss,Toss,%(win+toss),%toss,total_matches,%(win+toss)/total,Win,Lost
0,Chennai Super Kings,57,89,64.04494382022472,53.6144578313253,166,34.33734939759036,32,134
11,Deccan Chargers,19,43,44.18604651162791,56.57894736842105,76,25.0,24,52
19,Delhi Capitals,41,90,45.55555555555556,50.56179775280899,178,23.03370786516854,49,129
29,Gujarat Lions,10,15,66.66666666666666,50.0,30,33.33333333333333,5,25
36,Kings XI Punjab,34,80,42.5,45.714285714285715,175,19.428571428571427,46,129
44,Kochi Tuskers Kerala,4,8,50.0,57.14285714285714,14,28.57142857142857,4,10
50,Kolkata Knight Riders,53,92,57.608695652173914,50.82872928176796,181,29.2817679558011,39,142
63,Mumbai Indians,55,98,56.12244897959183,52.12765957446809,188,29.25531914893617,43,145
75,Pune Warriors,3,20,15.0,43.47826086956522,46,6.521739130434782,17,29
84,Rajasthan Royals,41,80,51.24999999999999,53.333333333333336,150,27.333333333333332,39,111
89,Rising Pune Supergiant,8,13,61.53846153846154,43.333333333333336,30,26.666666666666668,5,25
103,Royal Challengers Bangalore,40,82,48.78048780487805,44.80874316939891,183,21.85792349726776,42,141
113,Sunrisers Hyderabad,23,46,50.0,42.201834862385326,109,21.100917431192663,23,86
